ID: Gender, Age Category, Forgetfulness(%), Occupation, WorkPlace, Mask, Closed Relations
01836, Female, Senior Citizen, 37%, Retired, null, false, [02347 | 09891 | 01507]
01837, Male, Children, 1%, Student, Kindergarden, false, []
01838, Female, Children, 19%, Student, Secondary, false, [08276 | 07860 | 06736 | 02430 | 00045]
01839, Female, Children, 8%, Student, Primary, false, [07984 | 04772]
01840, Female, Children, 25%, Student, Secondary, false, [08543 | 03225 | 06903]
01841, Male, Adult, 14%, Firefighter, Fire Station, false, [06151 | 05626 | 00703]
01842, Female, Senior Citizen, 39%, Retired, null, false, [04757 | 04874 | 01424 | 00582]
01843, Male, Children, 12%, Student, Secondary, false, [05451 | 01025]
01844, Female, Adult, 23%, Teacher, Secondary, false, [06774 | 03055 | 05906 | 03090 | 02241 | 06956]
01845, Female, Children, 1%, Student, Secondary, false, [07354 | 02682 | 01025 | 09186]
01846, Female, Senior Citizen, 28%, Retired, null, false, [01995 | 02314 | 01835 | 00032 | 00097]
01847, Female, Children, 2%, Student, Secondary, false, [02636 | 02274 | 08063 | 00542]
01848, Male, Adult, 49%, Waiter, Moonlings, false, [04177 | 02907 | 04173]
01849, Male, Senior Citizen, 38%, Retired, null, false, [04781 | 03488 | 02991 | 01376 | 01137]
01850, Female, Adult, 33%, Cashier, Ali's Nasi Kandar, false, [08078 | 07012 | 02605 | 04936 | 00946]
01851, Male, Senior Citizen, 64%, Retired, null, false, []
01852, Male, Senior Citizen, 26%, Retired, null, false, [06376 | 01448]
01853, Male, Children, 25%, Student, Secondary, false, [01773]
01854, Male, Children, 8%, Student, Secondary, false, [08897 | 02174 | 00125]
01855, Female, Adult, 41%, Engineer, Orange, false, [02108 | 03473 | 06582 | 07104 | 06770]
01856, Male, Senior Citizen, 33%, Retired, null, false, [07995 | 03660]
01857, Female, Adult, 25%, Policeman, Police Station, false, [07635 | 03061 | 01919]
01858, Male, Adult, 5%, Waiter, FoodCourt, false, [09352 | 06454 | 01024 | 00013]
01859, Female, Children, 27%, Student, Secondary, false, [06317 | 04036 | 09611 | 02033 | 08504 | 01464]
01860, Male, Senior Citizen, 67%, Retired, null, false, [09494 | 09376 | 05226 | 01828 | 00970]
01861, Female, Senior Citizen, 37%, Retired, null, false, [04505 | 03231 | 01305 | 00930 | 01249]
01862, Female, Adult, 37%, Technician, MRT Station, false, [02476 | 00802]
01863, Male, Children, 30%, Student, Secondary, false, [06684 | 01820]
01864, Male, Adult, 10%, Clerk, JanBank, false, [02473 | 07268 | 08316]
01865, Female, Senior Citizen, 47%, Retired, null, false, [08053 | 05002 | 04389 | 01038]
01866, Male, Children, 21%, Student, Primary, false, [04981 | 04473 | 06353]
01867, Female, Senior Citizen, 51%, Retired, null, false, [03210 | 00235]
01868, Female, Adult, 31%, Engineer, Petrocad, false, [07791 | 05335 | 07596 | 06210 | 02964]
01869, Male, Adult, 32%, Shopping Centre Retailer, IKEY, false, [03637 | 00776 | 07069 | 07074]
01870, Male, Adult, 36%, Baker, IKEY, false, [08802 | 03905 | 01786]
01871, Male, Children, 19%, Student, Secondary, false, [07635 | 06397 | 03881 | 07284 | 00578 | 00876]
01872, Male, Adult, 38%, Cashier, Orange, false, [06074 | 01448 | 03528]
01873, Female, Children, 29%, Student, Secondary, false, [05410 | 04560 | 05950 | 02555]
01874, Male, Senior Citizen, 42%, Retired, null, false, [02226 | 00626 | 00198]
01875, Male, Children, 18%, Student, Kindergarden, false, [06165 | 04476 | 03465]
01876, Female, Adult, 46%, Teacher, Secondary, false, [08387]
01877, Female, Adult, 47%, Policeman, Police Station, false, [05610 | 02908 | 00506]
01878, Female, Adult, 48%, Housemaker, null, false, [00324 | 03229]
01879, Male, Adult, 34%, Barista, 2 Akhir, false, [06299 | 03449 | 02844 | 03246 | 02024 | 04381]
01880, Female, Senior Citizen, 60%, Retired, null, false, [03944 | 02253 | 00507 | 03354 | 01759]
01881, Female, Children, 16%, Student, Secondary, false, [02569 | 01208 | 00740]
01882, Male, Children, 29%, Student, Secondary, false, [03800 | 00153]
01883, Female, Adult, 38%, Medic, Clinic, true, [06801]
01884, Female, Children, 29%, Student, Secondary, false, [04293]
01885, Female, Senior Citizen, 42%, Retired, null, false, [04400 | 01127]
01886, Female, Children, 25%, Student, Secondary, false, [08598 | 07291 | 06222 | 05077 | 02529 | 02124 | 06196 | 00151 | 06406]
01887, Female, Senior Citizen, 68%, Retired, null, false, [03866 | 02628 | 02471 | 04883 | 09841 | 01957]
01888, Female, Children, 5%, Student, Kindergarden, false, [07917 | 02928 | 04890]
01889, Female, Senior Citizen, 65%, Retired, null, false, [07987 | 03521]
01890, Female, Children, 16%, Student, Secondary, false, [07552 | 03935 | 03605 | 02965]
01891, Female, Adult, 13%, Barista, MoonBucks, false, [04692]
01892, Female, Senior Citizen, 28%, Retired, null, false, [08751 | 07490 | 03953 | 02697 | 02547 | 01483 | 01013]
01893, Female, Children, 0%, Student, Kindergarden, false, []
01894, Male, Children, 4%, Student, Primary, false, [07176 | 02561 | 09123 | 00316 | 01432]
01895, Female, Adult, 34%, Medic, Clinic, true, [08443 | 01987]
01896, Male, Children, 22%, Student, Primary, false, [06467 | 03870 | 06204 | 00100]
01897, Female, Children, 11%, Student, Secondary, false, [07241 | 04215 | 03792 | 09140 | 08729 | 04674]
01898, Female, Senior Citizen, 55%, Retired, null, false, [09347 | 01484]
01899, Female, Adult, 15%, Accountant, AccSol, false, [00989 | 07136]
01900, Female, Adult, 9%, Accountant, AccSol, false, [08669 | 05459 | 05961 | 06403 | 03773]
01901, Female, Adult, 29%, Barista, 2 Akhir, false, [01828]
01902, Female, Children, 28%, Student, Secondary, false, [09479 | 06943]
01903, Male, Senior Citizen, 50%, Retired, null, false, [09104 | 00630 | 00723]
01904, Male, Children, 19%, Student, Primary, false, [07256]
01905, Female, Children, 9%, Student, Primary, false, [01359 | 01349 | 08500]
01906, Female, Children, 1%, Student, Secondary, false, [02977 | 05635 | 01057 | 00269]
01907, Female, Senior Citizen, 42%, Retired, null, false, [04379 | 09503 | 01803 | 09613 | 02683]
01908, Female, Adult, 25%, Baker, IKEY, false, [04992 | 04943 | 02919]
01909, Female, Senior Citizen, 60%, Retired, null, false, [04406 | 07923 | 01171]
01910, Male, Senior Citizen, 14%, Retired, null, false, [02649 | 00774]
01911, Female, Senior Citizen, 63%, Retired, null, false, [09185 | 07417 | 00192 | 09678 | 09856]
01912, Male, Senior Citizen, 64%, Retired, null, false, [05519 | 04896 | 00695 | 09854 | 01127]
01913, Female, Adult, 19%, Shopping Centre Retailer, IKEY, false, [04021 | 09971 | 04845 | 07198]
01914, Male, Senior Citizen, 61%, Retired, null, false, [02314 | 00922]
01915, Male, Children, 26%, Student, Secondary, false, [01924 | 04374 | 03466 | 05617]
01916, Male, Children, 5%, Student, Secondary, false, [02296 | 03154 | 07716]
01917, Female, Adult, 26%, Teacher, Primary, false, [08341 | 03687]
01918, Male, Adult, 40%, Housemaker, null, false, [05788 | 01521 | 00798]
01919, Female, Children, 23%, Student, Secondary, false, [04732 | 08418 | 08607 | 01857]
01920, Male, Senior Citizen, 19%, Retired, null, false, [09480 | 09719 | 01176 | 00294]
01921, Male, Children, 8%, Student, Secondary, false, [08058 | 06355 | 05998 | 07926]
01922, Male, Adult, 35%, Firefighter, Fire Station, false, [04688 | 05239 | 00652 | 09950]
01923, Female, Children, 1%, Student, Kindergarden, false, [02037 | 03407 | 01080]
01924, Female, Adult, 35%, Firefighter, Fire Station, false, [05707 | 01915 | 03603 | 06366 | 01105]
01925, Male, Senior Citizen, 30%, Retired, null, false, [02244 | 02077 | 00506]
01926, Female, Senior Citizen, 30%, Retired, null, false, [08968 | 07680 | 00739 | 00525]
01927, Male, Senior Citizen, 51%, Retired, null, false, [03756 | 01400 | 00649]
01928, Male, Senior Citizen, 28%, Retired, null, false, [00137 | 05351 | 04412]
01929, Female, Senior Citizen, 61%, Retired, null, false, [04551 | 02691 | 01273]
01930, Female, Senior Citizen, 57%, Retired, null, false, [01073 | 08882 | 04057 | 01061]
01931, Female, Adult, 38%, Teacher, Secondary, false, [06874]
01932, Female, Senior Citizen, 30%, Retired, null, false, [09889 | 08044 | 03618 | 09840 | 00683 | 09786]
01933, Male, Senior Citizen, 55%, Retired, null, false, [03824 | 02043 | 04605 | 02673 | 05733]
01934, Female, Children, 12%, Student, Secondary, false, []
01935, Female, Adult, 14%, Barista, IKEY, false, [06065 | 09707 | 07965]
01936, Male, Adult, 44%, Policeman, Police Station, false, [01675 | 01408]
01937, Female, Adult, 47%, Clerk, Clinic, true, [06073 | 05594 | 07806 | 01526]
01938, Female, Children, 25%, Student, Secondary, false, [02040]
01939, Female, Adult, 8%, Technician, MRT Station, false, [06854 | 04521 | 05927]
01940, Male, Children, 1%, Student, Secondary, false, [00320 | 07154 | 05588]
01941, Male, Adult, 34%, Policeman, Police Station, false, [05202 | 04704 | 00357]
01942, Female, Senior Citizen, 29%, Retired, null, false, [04902 | 02838 | 07411]
01943, Male, Senior Citizen, 61%, Retired, null, false, [06239 | 09482]
01944, Male, Adult, 27%, Firefighter, Fire Station, false, [06246]
01945, Female, Adult, 6%, Chef, 2 Akhir, false, [08962 | 08487 | 09808 | 03093 | 06143 | 01514]
01946, Male, Adult, 30%, Medic, Pharmarcy, true, [03952 | 03599 | 08252]
01947, Male, Senior Citizen, 22%, Retired, null, false, [04400 | 04287 | 03433 | 03298 | 07803 | 01362]
01948, Male, Adult, 43%, Shopping Centre Retailer, IKEY, false, [02472 | 07192 | 00269]
01949, Male, Adult, 50%, Shopping Centre Retailer, Moonlings, false, [00857 | 07600]
01950, Male, Adult, 42%, Engineer, AccSol, false, []
01951, Female, Children, 1%, Student, Secondary, false, []
01952, Male, Children, 4%, Student, Secondary, false, [02514 | 03159 | 06582 | 07989]
01953, Male, Children, 30%, Student, Secondary, false, [06373 | 08650 | 02345]
01954, Male, Senior Citizen, 18%, Retired, null, false, [09888 | 09678 | 09053 | 03086 | 01202 | 00698]
01955, Female, Senior Citizen, 47%, Retired, null, false, [02448 | 09430 | 04754 | 00008]
01956, Female, Adult, 49%, Clerk, Airport, true, [04358]
01957, Female, Senior Citizen, 68%, Retired, null, false, [09953 | 05895 | 01887 | 00012]
01958, Female, Senior Citizen, 69%, Retired, null, false, []
01959, Female, Adult, 14%, Barista, IKEY, false, [07451 | 01684 | 07675 | 07991 | 02857]
01960, Male, Senior Citizen, 28%, Retired, null, false, [06323 | 04327 | 04058 | 03550]
01961, Female, Senior Citizen, 53%, Retired, null, false, [03896 | 00830 | 00127]
01962, Female, Adult, 34%, Teacher, Secondary, false, [06116 | 00700 | 08705 | 02428]
01963, Male, Senior Citizen, 37%, Retired, null, false, [04925 | 01437 | 00511]
01964, Male, Adult, 19%, Housemaker, null, false, [08439 | 05104 | 04763 | 06707 | 09305]
01965, Male, Senior Citizen, 22%, Retired, null, false, [05515 | 03959 | 09502]
01966, Female, Senior Citizen, 28%, Retired, null, false, [09272 | 03946 | 03391 | 09539 | 02957 | 02699]
01967, Male, Children, 19%, Student, Secondary, false, [02035 | 05739 | 04460 | 02542]
01968, Female, Senior Citizen, 52%, Retired, null, false, [09598 | 09000 | 06380 | 05332 | 01087 | 00710]
01969, Male, Children, 14%, Student, Secondary, false, [03341 | 02008 | 02849 | 01815]
01970, Male, Senior Citizen, 21%, Retired, null, false, [09310 | 09141 | 05149 | 09970 | 01598]
01971, Female, Senior Citizen, 45%, Retired, null, false, [08863 | 04301 | 03388 | 00679 | 07262 | 00032]
01972, Male, Children, 4%, Student, Kindergarden, false, [08727 | 04249 | 01315]
01973, Male, Senior Citizen, 45%, Retired, null, false, [01306 | 00364]
01974, Male, Children, 2%, Student, Primary, false, [06623 | 01253]
01975, Male, Children, 4%, Student, Secondary, false, [07413 | 06635 | 00053 | 00002]
01976, Female, Children, 3%, Student, Primary, false, [04504 | 07524 | 00531 | 00693]
01977, Female, Children, 20%, Student, Primary, false, [08381 | 04426 | 02327 | 00073 | 01209]
01978, Male, Adult, 26%, Technician, KTM Station, false, [06227 | 05021 | 06868]
01979, Female, Adult, 20%, Policeman, Police Station, false, [07846 | 07334 | 05570 | 08822]
01980, Male, Children, 20%, Student, Secondary, false, [08229 | 08564 | 09158 | 04047]
01981, Male, Adult, 13%, Technician, MRT Station, false, [08591 | 06724 | 00025]
01982, Male, Senior Citizen, 61%, Retired, null, false, [04563 | 02283 | 01253]
01983, Female, Children, 14%, Student, Primary, false, []
01984, Male, Adult, 16%, Clerk, 2 Akhir, false, [08256 | 02732]
01985, Male, Children, 21%, Student, Secondary, false, [06109 | 04628 | 00015]
01986, Male, Adult, 47%, Policeman, Police Station, false, [09544 | 09209 | 02175 | 09816 | 00557]
01987, Male, Children, 28%, Student, Primary, false, [06864 | 02214 | 01895]
01988, Female, Children, 26%, Student, Secondary, false, [06383]
01989, Male, Children, 21%, Student, Secondary, false, [08450 | 01253]
01990, Female, Senior Citizen, 60%, Retired, null, false, [03826 | 02924 | 03628 | 01383 | 00977]
01991, Male, Senior Citizen, 52%, Retired, null, false, [07318 | 06695 | 02315 | 00002]
01992, Female, Children, 28%, Student, Secondary, false, [06333 | 02210 | 00057]
01993, Female, Adult, 46%, Barista, Moonlings, false, [07964 | 07922 | 07920 | 02655]
01994, Female, Senior Citizen, 52%, Retired, null, false, [09067 | 04283 | 09325]
01995, Male, Children, 8%, Student, Primary, false, [05718 | 07197 | 00874 | 01846]
01996, Female, Senior Citizen, 55%, Retired, null, false, [07264 | 03626 | 09848 | 01485 | 01748]
01997, Female, Children, 1%, Student, Secondary, false, [08169]
01998, Male, Senior Citizen, 47%, Retired, null, false, [06940 | 00312]
01999, Female, Adult, 31%, Manager, Fibre, false, []
02000, Male, Adult, 5%, Clerk, Kindergarden, false, [00173]
02001, Male, Adult, 21%, Waiter, FoodCourt, false, [07508 | 03823 | 00713]
02002, Female, Adult, 7%, Housemaker, null, false, [09779 | 05403 | 00155 | 05330 | 01612 | 01598]
02003, Female, Children, 0%, Student, Secondary, false, [07123 | 09435 | 00368]
02004, Female, Senior Citizen, 20%, Retired, null, false, [01697 | 00993 | 00059]
02005, Male, Children, 6%, Student, Secondary, false, [03234 | 05195 | 01014 | 09795]
02006, Female, Senior Citizen, 19%, Retired, null, false, [04223 | 01328 | 00252]
02007, Female, Adult, 9%, Technician, Orange, false, [07145 | 01061 | 00738]
02008, Male, Senior Citizen, 16%, Retired, null, false, [02614 | 04140 | 01969]
02009, Female, Adult, 6%, Cashier, KTM Station, false, [05364 | 03770 | 05830]
02010, Male, Senior Citizen, 51%, Retired, null, false, [03225 | 00701]
02011, Male, Adult, 21%, Clerk, Kindergarden, false, [00107 | 03417 | 06846]
02012, Male, Adult, 49%, Technician, Orange, false, [04061 | 00029 | 07056]
02013, Male, Children, 29%, Student, Secondary, false, [08521 | 06090 | 05571 | 03312 | 04678 | 00256 | 07028]
02014, Female, Adult, 16%, Teacher, Secondary, false, [05411 | 02484 | 04884]
02015, Male, Senior Citizen, 65%, Retired, null, false, [06804 | 09533 | 09750 | 08627 | 00252]
02016, Female, Adult, 43%, Housemaker, null, false, [08628 | 03878 | 04770]
02017, Female, Adult, 11%, Accountant, AccSol, false, [09043 | 09615 | 00768]
02018, Male, Children, 23%, Student, Secondary, false, [03530 | 02802 | 09106 | 00365]
02019, Male, Senior Citizen, 48%, Retired, null, false, [09758 | 02307 | 02046 | 01164]
02020, Male, Adult, 34%, Teacher, Secondary, false, [06097 | 03381]
02021, Female, Children, 30%, Student, Kindergarden, false, [05233 | 04346 | 02984]
02022, Female, Children, 8%, Student, Primary, false, [07267 | 06461]
02023, Female, Children, 7%, Student, Secondary, false, [07023 | 01547 | 00623 | 00241]
02024, Female, Adult, 21%, Cashier, GayaGrocery, false, [07879 | 01879 | 00593]
02025, Male, Senior Citizen, 24%, Retired, null, false, [06234 | 05353 | 09694 | 01113 | 01441]
02026, Female, Senior Citizen, 31%, Retired, null, false, [09392 | 05089]
02027, Male, Senior Citizen, 68%, Retired, null, false, [09573 | 04787 | 04453 | 00617 | 04671 | 09951 | 04809]
02028, Male, Adult, 29%, Baker, MoonBucks, false, [02489 | 02398 | 09261 | 03042 | 01811]
02029, Female, Children, 8%, Student, Primary, false, [08540 | 04821 | 07002 | 04078 | 06533]
02030, Male, Adult, 23%, Policeman, Police Station, false, [07331]
02031, Male, Senior Citizen, 28%, Retired, null, false, [05298 | 02821 | 05158 | 04967]
02032, Male, Senior Citizen, 50%, Retired, null, false, [03175 | 09648 | 02120]
02033, Male, Children, 23%, Student, Secondary, false, [01859 | 00149]
02034, Male, Children, 3%, Student, Primary, false, [08896]
02035, Female, Children, 13%, Student, Kindergarden, false, [08394 | 02883 | 04291 | 01967]
02036, Female, Adult, 20%, Accountant, RHP, false, [04614 | 02991 | 01303 | 06821 | 01438]
02037, Female, Children, 17%, Student, Secondary, false, [06476 | 00122 | 04185 | 01923]
02038, Male, Adult, 44%, Barista, Moonlings, false, [06010 | 06320 | 01443]
02039, Female, Senior Citizen, 67%, Retired, null, false, [01319]
02040, Male, Children, 12%, Student, Secondary, false, [05843 | 04476 | 01938 | 06718 | 03753 | 00641]
02041, Male, Adult, 49%, Firefighter, Fire Station, false, [09368 | 08535 | 06952 | 03640 | 01501]
02042, Male, Senior Citizen, 66%, Retired, null, false, [09324 | 04864 | 04798 | 00791 | 00790]
02043, Female, Adult, 22%, Shopping Centre Retailer, 2 Akhir, false, [09246 | 04388 | 01933]
02044, Female, Senior Citizen, 21%, Retired, null, false, [09716 | 06545 | 06218 | 02227 | 02098 | 00275 | 02318 | 01213]
02045, Female, Children, 25%, Student, Primary, false, [01820 | 00927 | 01406 | 05625]
02046, Female, Senior Citizen, 16%, Retired, null, false, [06220 | 05314 | 02019]
02047, Female, Adult, 48%, Manager, AccSol, false, [09222 | 02985 | 09451 | 00513]
02048, Male, Adult, 39%, Baker, IKEY, false, [06378 | 02534 | 09649 | 04709]
02049, Female, Children, 29%, Student, Secondary, false, [01552 | 07397 | 06872 | 09653]
02050, Female, Senior Citizen, 47%, Retired, null, false, [08498 | 00220]
02051, Male, Adult, 17%, Chef, MoonBucks, false, [07941 | 03602]
02052, Male, Senior Citizen, 30%, Retired, null, false, [01723]
02053, Male, Children, 10%, Student, Secondary, false, [05061 | 00913 | 07261]
02054, Male, Children, 21%, Student, Primary, false, [07210 | 05021 | 04254 | 00107]
02055, Male, Adult, 32%, Engineer, Petrocad, false, [07988]
02056, Male, Senior Citizen, 29%, Retired, null, false, [03374 | 05092 | 02615 | 03506 | 01143]
02057, Male, Adult, 37%, Cashier, Orange, false, []
02058, Female, Adult, 23%, Clerk, Airport, true, [08729]
02059, Male, Adult, 35%, Engineer, Airport, true, [02098 | 01697 | 00361]
02060, Female, Senior Citizen, 54%, Retired, null, false, [05478 | 03399 | 02899 | 09450 | 09722 | 01400]
02061, Male, Adult, 8%, Barista, IKEY, false, []
02062, Female, Senior Citizen, 54%, Retired, null, false, []
02063, Male, Senior Citizen, 23%, Retired, null, false, [08980 | 01760 | 03958 | 00183]
02064, Male, Adult, 21%, Policeman, Police Station, false, [08849]
02065, Female, Senior Citizen, 30%, Retired, null, false, [09234 | 06294 | 04274 | 03037 | 01764]
02066, Female, Adult, 18%, Engineer, Airport, true, [09200 | 07709 | 01103 | 00475]
02067, Male, Senior Citizen, 46%, Retired, null, false, [09687 | 09684 | 01447 | 01257]
02068, Male, Adult, 18%, Shopping Centre Retailer, IKEY, false, [03252]
02069, Male, Senior Citizen, 68%, Retired, null, false, [04896]
02070, Male, Senior Citizen, 47%, Retired, null, false, [04384]
02071, Male, Adult, 16%, Accountant, AccSol, false, [02419 | 06705 | 03521 | 01032]
02072, Female, Senior Citizen, 25%, Retired, null, false, [09826 | 06811 | 03803]
02073, Female, Adult, 50%, Cashier, Moonlings, false, [08409 | 09961 | 00329 | 06454]
02074, Female, Senior Citizen, 22%, Retired, null, false, [04834 | 04589]
02075, Male, Senior Citizen, 42%, Retired, null, false, [03252 | 00005 | 00369]
02076, Female, Senior Citizen, 69%, Retired, null, false, [03332 | 03241 | 02560 | 00716 | 00932]
02077, Male, Senior Citizen, 46%, Retired, null, false, [06279 | 03236 | 01925 | 00134]
02078, Female, Adult, 19%, Housemaker, null, false, [08531 | 00863 | 05733]
02079, Male, Adult, 37%, Shopping Centre Retailer, Moonlings, false, [07808 | 05486]
02080, Female, Children, 4%, Student, Primary, false, [08284 | 08534 | 00512 | 00200]
02081, Female, Children, 25%, Student, Secondary, false, []
02082, Female, Children, 7%, Student, Primary, false, [06105 | 03504 | 08319 | 04134 | 07307]
02083, Male, Adult, 44%, Barista, IKEY, false, [07931 | 07338 | 04612 | 07270 | 06256 | 01368 | 06686]
02084, Female, Children, 2%, Student, Primary, false, [08247 | 06912]
02085, Female, Senior Citizen, 56%, Retired, null, false, [04576 | 04035 | 01444]
02086, Female, Senior Citizen, 33%, Retired, null, false, [03854 | 03376 | 00660]
02087, Female, Adult, 42%, Clerk, 2 Akhir, false, [00294 | 01183 | 05640]
02088, Female, Children, 29%, Student, Secondary, false, [06569 | 06495 | 06867 | 04118 | 00580 | 03315]
02089, Female, Children, 8%, Student, Kindergarden, false, [06033 | 05401 | 02678 | 00764]
02090, Female, Children, 18%, Student, Primary, false, [08984 | 06063 | 05120 | 06058 | 00082]
02091, Female, Adult, 15%, Housemaker, null, false, [04549 | 04477 | 04235 | 03921 | 09928 | 04308 | 02739 | 00161]
02092, Female, Children, 27%, Student, Secondary, false, [06426 | 04767 | 04038 | 09168 | 01058]
02093, Female, Adult, 31%, Medic, Clinic, true, [04520 | 09349 | 06106]
02094, Male, Children, 14%, Student, Secondary, false, [09484 | 02825]
02095, Male, Adult, 30%, Firefighter, Fire Station, false, [07281 | 06771 | 04131 | 03393 | 08245 | 01779 | 00148]
02096, Female, Children, 24%, Student, Kindergarden, false, [06604]
02097, Female, Senior Citizen, 22%, Retired, null, false, [03230 | 09583]
02098, Male, Adult, 19%, Clerk, Kindergarden, false, [05805 | 02956 | 02059 | 04955 | 02044]
02099, Female, Children, 9%, Student, Primary, false, [07157 | 09071 | 09369 | 08113 | 01128]
02100, Male, Senior Citizen, 40%, Retired, null, false, [07658 | 02855 | 01595]
02101, Male, Adult, 22%, Firefighter, Fire Station, false, [04423 | 08180]
02102, Male, Senior Citizen, 59%, Retired, null, false, [09209 | 02791 | 02496 | 09943 | 04213 | 04001 | 01694]
02103, Female, Adult, 7%, Barista, MoonBucks, false, [05721 | 04346 | 03120 | 00222]
02104, Female, Adult, 50%, Chef, 2 Akhir, false, [02659 | 01638 | 06748 | 08572]
02105, Male, Adult, 11%, Waiter, IKEY, false, [08451 | 07560]
02106, Female, Adult, 15%, Barista, 2 Akhir, false, [08118 | 04397 | 00360]
02107, Female, Senior Citizen, 11%, Retired, null, false, [02893 | 09606 | 07488 | 04372]
02108, Male, Adult, 29%, Chef, Moonlings, false, [02458 | 04512 | 05258 | 01855]
02109, Male, Senior Citizen, 14%, Retired, null, false, [02651 | 00880]
02110, Female, Adult, 31%, Barista, Moonlings, false, [04579 | 02845 | 07070]
02111, Male, Children, 19%, Student, Secondary, false, [07775 | 00142]
02112, Female, Senior Citizen, 40%, Retired, null, false, [09378 | 05075 | 04275 | 00786 | 01296 | 09287 | 01799]
02113, Female, Senior Citizen, 55%, Retired, null, false, [09746 | 05664 | 03345 | 09608 | 03692 | 00032]
02114, Female, Adult, 46%, Teacher, Secondary, false, [05061 | 06120 | 04319]
02115, Female, Senior Citizen, 26%, Retired, null, false, [03075 | 02420 | 00192 | 08528 | 04305 | 02372]
02116, Male, Senior Citizen, 35%, Retired, null, false, [06687 | 05737 | 02652 | 03340 | 01472 | 01759 | 00387]
02117, Female, Adult, 5%, Cashier, Hospital, true, [02447 | 09099]
02118, Male, Adult, 44%, Teacher, Secondary, false, [03021 | 00502 | 08576 | 04161]
02119, Female, Adult, 9%, Housemaker, null, false, [07221 | 02253 | 03354]
02120, Male, Senior Citizen, 65%, Retired, null, false, [03554 | 02147 | 02683 | 02032 | 00790 | 00768]
02121, Male, Senior Citizen, 56%, Retired, null, false, [08331 | 08226 | 02883 | 09937 | 00865]
02122, Female, Adult, 22%, Clerk, IKEY, false, [05536 | 05480 | 09282 | 04594]
02123, Male, Children, 17%, Student, Primary, false, [08169 | 06976 | 04527 | 04159]
02124, Female, Children, 13%, Student, Secondary, false, [06729 | 07862 | 01886]
02125, Male, Children, 14%, Student, Secondary, false, [06325 | 03110 | 00279]
02126, Female, Adult, 36%, Manager, Petrocad, false, [08629 | 07004 | 04575 | 06677 | 03024]
02127, Male, Children, 19%, Student, Secondary, false, [05043 | 02334 | 01039]
02128, Male, Senior Citizen, 37%, Retired, null, false, [01820]
02129, Male, Children, 21%, Student, Secondary, false, [08997]
02130, Male, Children, 27%, Student, Primary, false, [07563 | 01740]
02131, Female, Children, 19%, Student, Primary, false, [04628 | 03663]
02132, Male, Children, 15%, Student, Secondary, false, [07901 | 03753 | 06037]
02133, Female, Senior Citizen, 50%, Retired, null, false, [05567 | 03320 | 01762 | 00159]
02134, Female, Senior Citizen, 29%, Retired, null, false, [09370 | 07700 | 04752 | 01643]
02135, Male, Children, 19%, Student, Secondary, false, [07790 | 04059]
02136, Male, Adult, 15%, Barista, Moonlings, false, [07679 | 00215 | 02516 | 04486]
02137, Male, Children, 7%, Student, Primary, false, [08306 | 07880 | 00017]
02138, Female, Adult, 6%, Manager, Pharmarcy, true, [03707 | 05278]
02139, Male, Children, 21%, Student, Secondary, false, [09083]
02140, Male, Adult, 17%, Housemaker, null, false, [03267 | 02566 | 04140 | 08888]
02141, Male, Adult, 11%, Manager, IKEY, false, []
02142, Female, Adult, 39%, Baker, 2 Akhir, false, [03188 | 02342 | 00744 | 01165]
02143, Female, Senior Citizen, 39%, Retired, null, false, [03384 | 03909]
02144, Male, Adult, 39%, Accountant, AccSol, false, [05212 | 03499 | 06590 | 01453]
02145, Male, Adult, 25%, Teacher, Kindergarden, false, [08033 | 04696 | 06653 | 02409 | 00399]
02146, Male, Senior Citizen, 11%, Retired, null, false, [09277 | 06234 | 05843 | 04539 | 03200 | 03676 | 09497]
02147, Male, Adult, 19%, Cashier, MoonBucks, false, [08159 | 07941 | 05168 | 06215 | 02120]
02148, Female, Senior Citizen, 21%, Retired, null, false, [04234 | 09572]
02149, Female, Senior Citizen, 39%, Retired, null, false, [03641 | 03401 | 03323]
02150, Male, Children, 26%, Student, Secondary, false, [06899 | 04955 | 00510]
02151, Female, Adult, 7%, Housemaker, null, false, [08253 | 02271 | 02811]
02152, Female, Children, 22%, Student, Primary, false, [06695 | 05985 | 03087 | 03869 | 05755]
02153, Female, Senior Citizen, 20%, Retired, null, false, [09708 | 09600 | 05990 | 02485 | 00166]
02154, Female, Children, 10%, Student, Primary, false, []
02155, Male, Adult, 33%, Housemaker, null, false, [02411 | 03031 | 01365 | 00909]
02156, Female, Children, 2%, Student, Primary, false, [08728]
02157, Male, Senior Citizen, 42%, Retired, null, false, [07478 | 06511 | 02282 | 00309]
02158, Male, Children, 7%, Student, Secondary, false, [05507 | 05199 | 00334]
02159, Female, Adult, 34%, Barista, MoonBucks, false, [05032 | 06911 | 09146 | 01259]
02160, Male, Children, 3%, Student, Secondary, false, [08821 | 02497 | 08607 | 05919]
02161, Female, Senior Citizen, 57%, Retired, null, false, [08622 | 05532 | 00048]
02162, Male, Children, 15%, Student, Primary, false, [04586 | 02797]
02163, Male, Adult, 48%, Housemaker, null, false, [05221 | 02606 | 09849 | 02513]
02164, Male, Adult, 16%, Chef, Moonlings, false, [08435 | 05997 | 05855 | 02249 | 05691 | 08579 | 00761]
02165, Male, Adult, 22%, Accountant, AccSol, false, [06774 | 02289 | 00958 | 07173 | 03720 | 08077]
